,IP,日期,Request方式,url,http版本,返回码,reponse长度,referer,user_agent,缓存是否命中
0,117.136.90.84,[26/Apr/2019:23:59:08 +0800],"""GET",/assets/welcome-8141fad96fd901b00140145ddef5cb9279f381de377728d4049a9c531d1c0d2d.js,"HTTP/1.1""",302,170,"['""https://www.wondercv.com/?utm_campaign=%E5%A4%8F%E5%A7%91%E5%A8%983%E6%9C%888%E6%97%A5&utm_medium=%E7%AE%80%E5%8E%86%E6%96%B0%E5%A2%9E&utm_source=%E5%A4%8F%E5%A7%91%E5%A8%983%E6%9C%888%E6%97%A5&gio_link_id=xRxAw0P5com.zhihu.android/Futureve/5.42.0']","Mozilla/5.0(Linux;Android8.0.0;MIX2Build/OPR1.170623.027;wv)AppleWebKit/537.36(KHTML,likeGecko)Version/4.0Chrome/68.0.3440.91MobileSafari/537.36""",MISS
1,58.253.69.253,[26/Apr/2019:23:59:09 +0800],"""GET",/companies.json?term=%E6%B7%98%E5%AE%9Ddian&lang=cn,"HTTP/1.1""",304,0,"['""https://www.wondercv.com/zh-CN/cvs/sDMwxn8/editor""']","""Mozilla/5.0(WindowsNT10.0;WOW64)AppleWebKit/537.36(KHTML,likeGecko)Chrome/70.0.3538.25Safari/537.36Core/1.70.3650.400QQBrowser/10.4.3341.400""",MISS
2,117.136.6.62,[26/Apr/2019:23:59:09 +0800],"""GET",/zh-CN/cvs/7ngwyqI/profiles?client=android,"HTTP/1.1""",200,16226,"['""-""']","""Mozilla/5.0(Linux;Android9;BKL-AL20Build/HUAWEIBKL-AL20;wv)AppleWebKit/537.36(KHTML,likeGecko)Version/4.0Chrome/70.0.3538.110MobileSafari/537.36android_wondercv_app&android_app_version=2.2.0""",MISS
3,36.17.96.141,[26/Apr/2019:23:59:09 +0800],"""GET",/zh-CN/cvs/qgyWhOs/custom_sections/2073678/edit,"HTTP/1.1""",200,15194,"['""https://www.wondercv.com/zh-CN/cvs/qgyWhOs/editor""']","""Mozilla/5.0(iPhone;CPUiPhoneOS12_2likeMacOSX)AppleWebKit/605.1.15(KHTML,likeGecko)Mobile/15E148MicroMessenger/7.0.3(0x17000321)NetType/4GLanguage/zh_CNminiProgram""",MISS
4,117.136.6.62,[26/Apr/2019:23:59:09 +0800],"""GET",/assets/v2_guide-d8dbaf07292bd37b5b2d333e27c3af26d2d2643bc9366b80314d0ef0f5729b60.css,"HTTP/1.1""",302,170,"['""https://www.wondercv.com/zh-CN/cvs/7ngwyqI/profiles?client=android""']","""Mozilla/5.0(Linux;Android9;BKL-AL20Build/HUAWEIBKL-AL20;wv)AppleWebKit/537.36(KHTML,likeGecko)Version/4.0Chrome/70.0.3538.110MobileSafari/537.36android_wondercv_app&android_app_version=2.2.0""",MISS
5,117.136.6.62,[26/Apr/2019:23:59:09 +0800],"""GET",/assets/application-3e5f44e19e50027709573ede0932e044413fda22d1cf07a0cbd1d3284c17dd64.js,"HTTP/1.1""",302,170,"['""https://www.wondercv.com/zh-CN/cvs/7ngwyqI/profiles?client=android""']","""Mozilla/5.0(Linux;Android9;BKL-AL20Build/HUAWEIBKL-AL20;wv)AppleWebKit/537.36(KHTML,likeGecko)Version/4.0Chrome/70.0.3538.110MobileSafari/537.36android_wondercv_app&android_app_version=2.2.0""",MISS
6,36.17.96.141,[26/Apr/2019:23:59:09 +0800],"""GET",/assets/v2_guide-d8dbaf07292bd37b5b2d333e27c3af26d2d2643bc9366b80314d0ef0f5729b60.css,"HTTP/1.1""",302,170,"['""https://www.wondercv.com/zh-CN/cvs/qgyWhOs/custom_sections/2073678/edit""']","""Mozilla/5.0(iPhone;CPUiPhoneOS12_2likeMacOSX)AppleWebKit/605.1.15(KHTML,likeGecko)Mobile/15E148MicroMessenger/7.0.3(0x17000321)NetType/4GLanguage/zh_CNminiProgram""",MISS
7,123.114.98.242,[26/Apr/2019:23:59:09 +0800],"""GET",/universities.json?term=%E9%9F%A9%E5%9B%BD%E5%BB%BA%E5%9B%BD%E5%A4%A7%E5%AD%A6(,"HTTP/1.1""",200,33,"['""https://www.wondercv.com/zh-CN/cvs/b_2Y8zE/edus""']","""Mozilla/5.0(Macintosh;IntelMacOSX10_14_4)AppleWebKit/605.1.15(KHTML,likeGecko)Version/12.1Safari/605.1.15""",MISS
8,58.253.69.253,[26/Apr/2019:23:59:09 +0800],"""GET",/companies.json?term=%E6%B7%98%E5%AE%9D%E5%BA%97&lang=cn,"HTTP/1.1""",200,33,"['""https://www.wondercv.com/zh-CN/cvs/sDMwxn8/editor""']","""Mozilla/5.0(WindowsNT10.0;WOW64)AppleWebKit/537.36(KHTML,likeGecko)Chrome/70.0.3538.25Safari/537.36Core/1.70.3650.400QQBrowser/10.4.3341.400""",MISS
9,36.17.96.141,[26/Apr/2019:23:59:09 +0800],"""GET",/assets/application-3e5f44e19e50027709573ede0932e044413fda22d1cf07a0cbd1d3284c17dd64.js,"HTTP/1.1""",302,170,"['""https://www.wondercv.com/zh-CN/cvs/qgyWhOs/custom_sections/2073678/edit""']","""Mozilla/5.0(iPhone;CPUiPhoneOS12_2likeMacOSX)AppleWebKit/605.1.15(KHTML,likeGecko)Mobile/15E148MicroMessenger/7.0.3(0x17000321)NetType/4GLanguage/zh_CNminiProgram""",MISS
